field_name,alias,type,arrow,table,dec
Inter-RAT Handover Out Success Rate (LTE to WCDMA)(%),,,,,
L.CSFB.PrepAtt_sum,CSFB Attempts,raw,normal,basic,0
L.CSFB.PrepSucc,,,,,
L.IRATHO.E2C.ExecAttOut,,,,,
L.IRATHO.E2C.ExecSuccOut,,,,,
L.IRATHO.E2C.PrepAttOut,,,,,
L.IRATHO.E2G.ExecAttOut,,,,,
L.IRATHO.E2G.ExecSuccOut,,,,,
L.IRATHO.E2G.PrepAttOut,,,,,
L.IRATHO.E2T.ExecAttOut,,,,,
L.IRATHO.E2T.ExecSuccOut,,,,,
L.IRATHO.E2T.PrepAttOut,,,,,
L.IRATHO.E2W.ExecAttOut,,,,,
L.IRATHO.E2W.ExecSuccOut,,,,,
L.IRATHO.E2W.PrepAttOut,,,,,
Inter-frequency Handover Out Success Rate(%),,,,,
Intra-RAT HO Succcess Rate(%),,,,,
Intra-frequency Handover Out Success Rate(%),,,,,
L.HHO.IntereNB.InterFreq.ExecAttOut,,,,,
L.HHO.IntereNB.InterFreq.ExecSuccOut,,,,,
L.HHO.IntereNB.InterFreq.PrepAttOut,,,,,
L.HHO.IntereNB.IntraFreq.ExecAttOut,,,,,
L.HHO.IntereNB.IntraFreq.ExecSuccOut,,,,,
L.HHO.IntereNB.IntraFreq.PrepAttOut,,,,,
L.HHO.IntraeNB.InterFreq.ExecAttOut,,,,,
L.HHO.IntraeNB.InterFreq.ExecSuccOut,,,,,
L.HHO.IntraeNB.InterFreq.PrepAttOut,,,,,
L.HHO.IntraeNB.IntraFreq.ExecAttOut,,,,,
L.HHO.IntraeNB.IntraFreq.ExecSuccOut,,,,,
L.HHO.IntraeNB.IntraFreq.PrepAttOut,,,,,
L.HHO.Prep.FailOut.HOCancel,,,,,
L.HHO.Prep.FailOut.MME,,,,,
L.HHO.Prep.FailOut.NoReply,,,,,
L.HHO.Prep.FailOut.PrepFailure,,,,,
DL Packet Loss Rate of Data Service(%),,,,,
L.Traffic.DL.PktUuLoss.Loss.QCI.9(packet),,,,,
L.Traffic.DL.PktUuLoss.Tot.QCI.9(packet),,,,,
L.Traffic.UL.PktLoss.Loss.QCI.9(packet),,,,,
L.Traffic.UL.PktLoss.Tot.QCI.9(packet),,,,,
UL Packet Loss Rate of Data Service(%),,,,,
Total 4G Data Volume (GB),Total 4G Data Volume (GB),calc,normal,traffic,2
L.ChMeas.PRB.DL.Avail,,,,,
L.ChMeas.PRB.UL.Avail,,,,,
DL PRB Utilisation (%),DL PRB Utilisation (%),calc,normal,resources,2
UL PRB Utilisation (%),UL PRB Utilisation (%),calc,normal,resources,2
LTE Congestion (ALL),LTE Congestion (ALL),calc,inverse,congestion_4G_sum,0
